captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,quiet,views,condo,amenities,piscina,terraza,jardín,ascensor,parking
2024-09-10,273381,Fazwaz,2.0,Quito,143.0,3,124.0,1,1,1,1,0,0,0,0,0
2024-09-10,284732,Fazwaz,2.0,Quito,98.0,2,90.0,0,1,1,0,0,0,0,0,0
2024-09-10,191619,Fazwaz,2.0,Quito,96.0,3,82.0,1,1,1,1,0,0,0,0,0
2024-09-10,204880,Fazwaz,2.0,Quito,109.0,3,86.0,1,1,1,1,0,0,0,0,0
2024-09-10,125336,Fazwaz,1.0,Quito,49.0,1,62.0,0,1,1,0,0,0,0,0,0
2024-09-10,167473,Fazwaz,1.0,Quito,63.0,1,65.0,0,1,1,0,0,0,0,0,0
2024-09-10,299000,Fazwaz,2.0,Nayon,208.0,3,73.0,0,0,0,0,0,0,0,0,0
2024-09-10,180000,Fazwaz,2.0,Guangopolo,200.0,4,102.0,0,0,0,0,0,0,0,0,0
2024-09-10,381720,Fazwaz,4.0,Tumbaco,244.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,190000,Fazwaz,2.0,Nayon,140.0,3,66.0,0,0,0,0,0,0,0,0,0
2024-09-10,243750,Fazwaz,1.0,Cumbaya,115.0,2,85.0,0,0,1,0,0,0,0,0,0
2024-09-10,396390,Fazwaz,4.0,Tumbaco,244.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,238906,Fazwaz,2.0,Quito,117.0,3,77.0,0,0,1,0,0,0,0,0,0
2024-09-10,284993,Fazwaz,2.0,Quito,90.0,2,48.0,0,1,1,0,0,0,0,0,0
2024-09-10,212319,Fazwaz,2.0,Quito,106.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,123869,Fazwaz,1.0,Quito,51.0,1,62.0,0,1,1,0,0,0,0,0,0
2024-09-10,141464,Fazwaz,2.0,Quito,76.0,2,29.0,1,1,1,1,0,0,0,0,0
2024-09-10,127727,Fazwaz,1.0,Quito,47.0,1,62.0,0,1,1,0,0,0,0,0,0
2024-09-10,213837,Fazwaz,2.0,Quito,112.0,3,77.0,1,1,1,1,0,0,0,0,0
2024-09-10,127000,Fazwaz,1.0,Guangopolo,92.0,2,56.0,0,0,0,0,0,0,0,0,0
2024-09-10,251910,Fazwaz,2.0,Quito,105.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,153759,Fazwaz,2.0,Quito,80.0,2,18.0,1,1,1,1,0,0,0,0,0
2024-09-10,359185,Fazwaz,3.0,Cumbaya,193.0,3,198.0,0,0,1,0,0,0,0,0,0
2024-09-10,253518,Fazwaz,2.0,Tumbaco,143.0,2,128.0,0,0,1,0,0,0,0,0,0
2024-09-10,118788,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,154233,Fazwaz,2.0,Quito,80.0,2,18.0,0,0,1,0,0,0,0,0,0
2024-09-10,114116,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,174457,Fazwaz,2.0,Quito,88.0,2,48.0,0,0,1,0,0,0,0,0,0
2024-09-10,140214,Fazwaz,2.0,Quito,76.0,2,29.0,1,1,1,1,0,0,0,0,0
2024-09-10,179119,Fazwaz,2.0,Quito,78.0,2,29.0,1,1,1,1,0,0,0,0,0
2024-09-10,150000,Fazwaz,1.5,Quito,68.0,1,58.0,0,0,0,0,1,1,0,0,0
2024-09-10,325860,Fazwaz,3.0,Tumbaco,192.0,3,198.0,0,0,1,0,0,0,0,0,0
2024-09-10,305745,Fazwaz,3.0,Tumbaco,193.0,3,198.0,0,0,1,0,0,0,0,0,0
2024-09-10,203962,Fazwaz,2.0,Tumbaco,111.0,2,95.0,0,0,1,0,0,0,0,0,0
2024-09-10,264090,Fazwaz,2.0,Tumbaco,143.0,2,128.0,0,0,1,0,0,0,0,0,0
2024-09-10,302400,Fazwaz,3.0,Tumbaco,165.0,3,137.0,0,0,1,0,0,0,0,0,0
2024-09-10,203580,Fazwaz,2.0,Tumbaco,111.0,2,95.0,0,0,1,0,0,0,0,0,0
2024-09-10,296744,Fazwaz,3.0,Cumbaya,161.0,3,154.0,0,0,1,0,0,0,0,0,0
2024-09-10,289680,Fazwaz,3.0,Tumbaco,178.0,3,203.0,0,0,1,0,0,0,0,0,0
2024-09-10,236548,Fazwaz,2.0,Quito,117.0,3,77.0,0,0,1,0,0,0,0,0,0
2024-09-10,137074,Fazwaz,1.0,Quito,60.0,1,86.0,0,0,1,0,0,0,0,0,0
2024-09-10,138286,Fazwaz,1.0,Quito,60.0,1,86.0,0,0,1,0,0,0,0,0,0
2024-09-10,115284,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,376815,Fazwaz,4.0,Tumbaco,243.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,291015,Fazwaz,3.0,Tumbaco,178.0,3,203.0,0,0,1,0,0,0,0,0,0
2024-09-10,292140,Fazwaz,3.0,Tumbaco,174.0,3,203.0,0,0,1,0,0,0,0,0,0
2024-09-10,175406,Fazwaz,2.0,Quito,88.0,2,48.0,0,0,1,0,0,0,0,0,0
2024-09-10,135863,Fazwaz,1.0,Quito,60.0,1,86.0,0,0,1,0,0,0,0,0,0
2024-09-10,132369,Fazwaz,1.0,Quito,64.0,1,65.0,0,0,1,0,0,0,0,0,0
2024-09-10,152622,Fazwaz,2.0,Quito,80.0,2,18.0,0,0,1,0,0,0,0,0,0
2024-09-10,177163,Fazwaz,2.0,Quito,88.0,2,48.0,0,0,1,0,0,0,0,0,0
2024-09-10,117620,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,130674,Fazwaz,1.0,Quito,64.0,1,65.0,0,0,1,0,0,0,0,0,0
2024-09-10,233926,Fazwaz,2.0,Quito,109.0,3,86.0,1,1,1,1,0,0,0,0,0
2024-09-10,257290,Fazwaz,2.0,Quito,106.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,237920,Fazwaz,2.0,Quito,110.0,3,86.0,0,0,1,0,0,0,0,0,0
2024-09-10,216720,Fazwaz,2.0,Tumbaco,129.0,2,88.0,0,0,1,0,0,0,0,0,0
2024-09-10,116452,Fazwaz,1.0,Quito,58.0,1,73.0,0,0,1,0,0,0,0,0,0
2024-09-10,131090,Fazwaz,1.0,Quito,64.0,1,65.0,0,0,1,0,0,0,0,0,0
2024-09-10,213120,Fazwaz,2.0,Tumbaco,121.0,2,126.0,0,0,1,0,0,0,0,0,0
2024-09-10,144751,Fazwaz,1.0,Quito,84.0,1,26.0,0,1,1,0,0,0,0,0,0
2024-09-10,285700,Fazwaz,2.0,Cumbaya,134.46,2,88.0,0,0,1,0,0,0,0,0,0
2024-09-10,136400,Fazwaz,1.0,Cumbaya,71.5,1,58.0,0,0,1,0,0,0,0,0,0
2024-09-10,204283,Fazwaz,2.0,Cumbaya,98.0,2,90.0,0,0,1,0,0,0,0,0,0
2024-09-10,323125,Fazwaz,2.0,Cumbaya,134.0,3,79.0,0,0,1,0,0,0,0,0,0
2024-09-10,158197,Fazwaz,2.0,Quito,96.83,3,82.0,0,1,1,0,0,0,0,0,0
2024-09-10,136400,Fazwaz,1.0,Cumbaya,71.5,1,58.0,0,0,1,0,0,0,0,0,0
2024-09-10,174402,Fazwaz,2.0,Quito,101.82,3,63.0,0,1,1,0,0,0,0,0,0
2024-09-10,243572,Fazwaz,2.0,Cumbaya,129.0,3,79.0,0,0,1,0,0,0,0,0,0
2024-09-10,169922,Fazwaz,2.0,Quito,101.82,3,63.0,0,1,1,0,0,0,0,0,0
2024-09-10,318300,Fazwaz,2.0,Cumbaya,133.0,3,79.0,0,0,1,0,0,0,0,0,0
2024-09-10,359185,Fazwaz,3.0,Cumbaya,193.0,3,198.0,0,0,1,0,0,0,0,0,0
2024-09-10,292140,Fazwaz,3.0,Tumbaco,174.0,3,203.0,0,0,1,0,0,0,0,0,0
2024-09-10,396390,Fazwaz,4.0,Tumbaco,244.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,376815,Fazwaz,4.0,Tumbaco,243.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,291015,Fazwaz,3.0,Tumbaco,178.0,3,203.0,0,0,1,0,0,0,0,0,0
2024-09-10,253518,Fazwaz,2.0,Tumbaco,143.0,2,128.0,0,0,1,0,0,0,0,0,0
2024-09-10,325860,Fazwaz,3.0,Tumbaco,192.0,3,198.0,0,0,1,0,0,0,0,0,0
2024-09-10,145890,Fazwaz,1.0,Tumbaco,84.0,1,26.0,0,0,1,0,0,0,0,0,0
2024-09-10,203580,Fazwaz,2.0,Tumbaco,111.0,2,95.0,0,0,1,0,0,0,0,0,0
2024-09-10,318050,Fazwaz,2.0,Cumbaya,127.0,3,74.0,0,0,1,0,0,0,0,0,0
2024-09-10,75000,Fazwaz,1.0,Quito,106.0,3,56.0,0,0,0,0,0,0,0,0,0
2024-09-10,328850,Fazwaz,2.0,Cumbaya,131.0,3,79.0,0,0,1,0,0,0,0,0,0
2024-09-10,302150,Fazwaz,2.0,Cumbaya,117.5,3,77.0,0,0,1,0,0,0,0,0,0
2024-09-10,188203,Fazwaz,2.0,Cumbaya,98.0,2,90.0,0,0,1,0,0,0,0,0,0
2024-09-10,140525,Fazwaz,2.0,Quito,90.72,2,48.0,0,1,1,0,0,0,0,0,0
2024-09-10,233926,Fazwaz,2.0,Quito,109.0,3,86.0,1,1,1,1,0,0,0,0,0
2024-09-10,257290,Fazwaz,2.0,Quito,106.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,284993,Fazwaz,2.0,Quito,90.0,2,48.0,0,1,1,0,0,0,0,0,0
2024-09-10,212319,Fazwaz,2.0,Quito,106.0,3,57.0,1,1,1,1,0,0,0,0,0
2024-09-10,150000,Fazwaz,1.5,Quito,68.0,1,58.0,0,0,0,0,1,1,0,0,0
2024-09-10,264110,Fazwaz,2.0,Conocoto,148.53,3,121.0,0,0,0,0,0,0,0,0,0
2024-09-10,70000,Fazwaz,2.0,Quito,115.0,3,77.0,0,0,0,0,0,0,0,0,0
2024-09-10,140000,Fazwaz,2.0,Quito,95.0,3,82.0,0,0,0,0,0,0,0,0,0
2024-09-10,99700,Fazwaz,2.0,Quito,95.0,3,82.0,0,0,0,0,0,0,0,0,0
2024-09-10,180000,Fazwaz,3.0,Quito,228.0,4,187.0,0,0,1,0,0,0,0,0,0
2024-09-10,499000,Fazwaz,3.0,Quito,760.01,3,48.0,0,0,0,0,0,0,0,0,0
2024-09-10,252434,Fazwaz,2.0,Cumbaya,113.0,2,86.0,0,0,1,0,0,0,0,0,0
2024-09-10,271626,Fazwaz,3.0,Cumbaya,139.0,3,89.0,0,0,1,0,0,0,0,0,0
2024-09-10,159263,Fazwaz,1.0,Cumbaya,63.0,1,65.0,0,0,1,0,0,0,0,0,0
2024-09-10,152865,Fazwaz,1.0,Cumbaya,63.0,1,65.0,0,0,1,0,0,0,0,0,0
2024-09-10,284089,Fazwaz,2.0,Cumbaya,128.0,2,88.0,0,0,1,0,0,0,0,0,0
2024-09-10,258807,Fazwaz,2.0,Cumbaya,134.0,2,88.0,0,0,1,0,0,0,0,0,0
2024-09-10,256289,Fazwaz,2.0,Cumbaya,113.0,2,86.0,0,0,1,0,0,0,0,0,0
2024-09-10,238308,Fazwaz,2.0,Cumbaya,122.0,2,126.0,0,0,1,0,0,0,0,0,0
2024-09-10,290671,Fazwaz,3.0,Cumbaya,146.0,3,180.0,0,0,1,0,0,0,0,0,0
2024-09-10,312493,Fazwaz,3.0,Cumbaya,143.0,3,180.0,0,0,1,0,0,0,0,0,0
2024-09-10,285968,Fazwaz,2.0,Cumbaya,120.0,2,145.0,0,0,1,0,0,0,0,0,0
2024-09-10,266026,Fazwaz,3.0,Cumbaya,139.0,3,89.0,0,0,1,0,0,0,0,0,0
2024-09-10,255391,Fazwaz,3.0,Cumbaya,136.0,3,100.0,0,0,1,0,0,0,0,0,0
2024-09-10,252403,Fazwaz,2.0,Cumbaya,130.0,2,88.0,0,0,1,0,0,0,0,0,0
2024-09-10,242238,Fazwaz,2.0,Cumbaya,124.0,2,83.0,0,0,1,0,0,0,0,0,0
2024-09-10,224267,Fazwaz,2.0,Quito,110.0,3,86.0,1,1,1,1,0,0,0,0,0
2024-09-10,240575,Fazwaz,1.0,Quito,74.0,1,41.0,0,1,1,0,0,0,0,0,0
2024-09-10,245579,Fazwaz,2.0,Quito,96.0,3,82.0,1,1,1,1,0,0,0,0,0
2024-09-10,195418,Fazwaz,1.0,Quito,61.0,1,74.0,0,1,1,0,0,0,0,0,0
2024-09-10,381720,Fazwaz,4.0,Tumbaco,244.0,3,186.0,0,0,1,0,0,0,0,0,0
2024-09-10,180000,Fazwaz,2.0,Guangopolo,200.0,4,102.0,0,0,0,0,0,0,0,0,0
2024-09-10,243750,Fazwaz,1.0,Cumbaya,115.0,2,85.0,0,0,1,0,0,0,0,0,0
2024-09-10,190000,Fazwaz,2.0,Nayon,140.0,3,66.0,0,0,0,0,0,0,0,0,0
2024-09-10,280000,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano Quito,341.0,3,195.0,0,0,0,0,0,1,0,0,0
2024-09-10,150000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,98.0,2,90.0,0,0,0,0,0,1,0,1,0
2024-09-10,110000,Johanna Chalen - Remax Impacta,4.0,Distrito Metropolitano Quito,183.0,3,198.0,0,0,0,0,0,1,0,1,0
2024-09-10,96900,Emerson Medina - Inmoimpakto,2.0,Distrito Metropolitano Quito,105.0,2,66.0,0,0,0,0,0,0,1,0,0
2024-09-10,95000,Cbr. Ximena Loma - Bienes Raíces LM,3.0,Distrito Metropolitano Quito,140.0,3,89.0,0,0,0,0,0,0,0,0,0
2024-09-10,95000,Cbr. Ximena Loma - Bienes Raíces LM,3.0,Distrito Metropolitano Quito,140.0,3,89.0,0,0,0,0,0,1,0,1,0
2024-09-10,136000,Fernando Falconi,2.0,Distrito Metropolitano Quito,93.0,3,39.0,0,0,0,0,0,0,0,1,0
2024-09-10,136000,Fernando Falconi,2.0,Distrito Metropolitano Quito,93.0,3,39.0,0,0,0,0,0,0,0,1,0
2024-09-10,150000,Carolina Silva,3.0,Distrito Metropolitano Quito,308.0,3,195.0,0,0,0,0,0,0,0,1,0
2024-09-10,157899,Andres Altamirano,2.0,Distrito Metropolitano Quito,87.0,2,69.0,0,0,0,0,0,1,1,0,0
2024-09-10,246286,Andres Altamirano,3.0,Distrito Metropolitano Quito,137.0,3,100.0,0,0,0,0,0,1,0,1,0
2024-09-10,150000,Carolina Silva,2.0,Distrito Metropolitano Quito,128.0,2,88.0,0,0,0,0,0,1,0,1,0
2024-09-10,450000,Carolina Silva,4.0,Distrito Metropolitano Quito,200.0,3,198.0,0,0,0,0,0,1,1,1,0
2024-09-10,112000,Ing. Roberto Alarcón,2.0,Distrito Metropolitano Quito,105.0,3,57.0,0,0,0,0,1,1,1,1,0
2024-09-10,380000,MIRAI,4.0,Distrito Metropolitano Quito,350.0,3,195.0,0,0,0,0,1,0,1,0,0
2024-09-10,80000,MIRAI,2.0,Distrito Metropolitano Quito,130.0,2,88.0,0,0,0,0,0,0,1,1,0
2024-09-10,175000,MIRAI,2.0,Metropolitan District of Quito,134.0,3,79.0,0,0,0,0,0,1,0,1,0
2024-09-10,210000,Horizonte Azul,6.0,Metropolitan District of Quito,209.0,7,194.0,0,0,0,0,1,1,0,1,0
2024-09-10,115000,Horizonte Azul,1.0,Distrito Metropolitano Quito,102.0,3,62.0,0,0,0,0,0,1,0,0,0
2024-09-10,640000,MIRAI,6.0,Quito,650.0,5,36.0,0,0,0,0,0,1,0,0,0
2024-09-10,110000,Horizonte Azul,3.0,Distrito Metropolitano Quito,220.0,3,186.0,0,0,0,0,0,1,1,0,0
2024-09-10,95000,Horizonte Azul,1.0,Distrito Metropolitano Quito,91.0,2,56.0,0,0,0,0,0,1,0,1,0
2024-09-10,210000,MIRAI,4.0,Quito,198.0,3,198.0,0,0,0,0,0,0,0,0,0
2024-09-10,48000,GS CONSTRUCCIONES Y BIENES RAÍCES,1.0,Distrito Metropolitano Quito,55.0,3,77.0,0,0,0,0,0,1,0,1,0
2024-09-10,118000,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano Quito,133.0,3,102.0,0,0,0,0,0,0,1,0,0
2024-09-10,50000,Diego Germán Unda - Remax Impacta,1.0,Distrito Metropolitano Quito,74.0,3,43.0,0,0,0,0,0,0,0,0,0
2024-09-10,195000,GS CONSTRUCCIONES Y BIENES RAÍCES,4.0,Distrito Metropolitano Quito,156.0,3,177.0,0,0,0,0,0,1,0,0,0
2024-09-10,90000,Emma Barragán,2.0,Distrito Metropolitano Quito,70.0,2,46.0,0,0,0,0,0,1,1,1,0
2024-09-10,683000,Proyectos con Futuro,5.0,Distrito Metropolitano Quito,527.0,4,72.0,0,0,0,0,0,1,0,1,0
2024-09-10,118000,Inmoejecutivos,2.0,Distrito Metropolitano Quito,120.0,3,136.0,0,0,0,0,1,1,1,1,0
2024-09-10,169279,Intramuros Constructora,2.0,Distrito Metropolitano Quito,94.0,2,88.0,0,0,0,0,0,0,0,0,0
2024-09-10,202578,Intramuros Constructora,3.0,Distrito Metropolitano Quito,147.0,2,181.0,0,0,0,0,1,1,1,1,0
2024-09-10,220920,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano Quito,105.0,2,100.0,0,0,0,0,1,1,1,1,0
2024-09-10,135000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,100.0,3,63.0,0,0,0,0,1,1,1,1,0
2024-09-10,280000,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano Quito,341.0,3,195.0,0,0,0,0,0,1,1,1,0
2024-09-10,150000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,98.0,2,90.0,0,0,0,0,0,1,0,1,0
2024-09-10,270000,Inmoejecutivos,3.0,Distrito Metropolitano Quito,164.0,2,162.0,0,0,0,0,0,1,0,1,0
2024-09-10,124000,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano Quito,144.0,3,180.0,0,0,0,0,1,1,1,1,0
2024-09-10,220000,Inmoejecutivos,2.0,Distrito Metropolitano Quito,155.0,3,121.0,0,0,0,0,0,0,0,1,0
2024-09-10,98000,FREDDY CABRERA - BIENES RAÍCES,3.0,Distrito Metropolitano Quito,95.0,3,116.0,0,0,0,0,0,1,1,1,0
2024-09-10,156000,Emma Barragán,3.0,Distrito Metropolitano Quito,110.0,2,121.0,0,0,0,0,0,0,0,1,0
2024-09-10,90000,Emma Barragán,2.0,Distrito Metropolitano Quito,70.0,2,46.0,0,0,0,0,1,0,1,1,0
2024-09-10,118000,Inmoejecutivos,2.0,Distrito Metropolitano Quito,120.0,3,136.0,0,0,0,0,0,1,0,1,0
2024-09-10,229000,Inmoejecutivos,2.0,Distrito Metropolitano Quito,186.0,2,110.0,0,0,0,0,0,1,1,1,0
2024-09-10,683000,Proyectos con Futuro,5.0,Distrito Metropolitano Quito,527.0,4,72.0,0,0,0,0,1,1,1,1,0
2024-09-10,149600,Intramuros Constructora,3.0,Distrito Metropolitano Quito,86.0,2,109.0,0,0,0,0,1,1,1,1,0
2024-09-10,106515,Intramuros Constructora,1.0,Distrito Metropolitano Quito,55.0,1,78.0,0,0,0,0,0,1,1,1,0
2024-09-10,305652,Intramuros Constructora,4.0,Distrito Metropolitano Quito,159.0,3,154.0,0,0,0,0,1,1,1,1,0
2024-09-10,134000,Emma Barragán,3.0,Distrito Metropolitano Quito,136.0,3,100.0,0,0,0,0,1,1,1,1,0
2024-09-10,220000,Emma Barragán,5.0,Distrito Metropolitano Quito,327.0,4,196.0,0,0,0,0,0,0,0,1,0
2024-09-10,245000,Emma Barragán,5.0,Distrito Metropolitano Quito,300.0,4,196.0,0,0,0,0,0,0,0,0,0
2024-09-10,94000,Emma Barragán,3.0,Distrito Metropolitano Quito,116.0,2,114.0,0,0,0,0,0,0,0,1,0
2024-09-10,110000,Intramuros Constructora,2.0,Distrito Metropolitano Quito,79.0,1,29.0,0,0,0,0,0,0,0,0,0
2024-09-10,300551,Intramuros Constructora,3.0,Distrito Metropolitano Quito,157.0,3,177.0,0,0,0,0,0,1,1,1,0
2024-09-10,428502,Intramuros Constructora,4.0,Distrito Metropolitano Quito,249.0,3,186.0,0,0,0,0,0,1,1,1,0
2024-09-10,627486,Intramuros Constructora,4.0,Distrito Metropolitano Quito,464.0,3,71.0,0,0,0,0,1,1,1,1,0
2024-09-10,140056,Intramuros Constructora,2.0,Distrito Metropolitano Quito,88.0,1,48.0,0,0,0,0,1,1,1,1,0
2024-09-10,318994,SU CASA SOBRE LA ROCA,4.0,Distrito Metropolitano Quito,139.0,3,89.0,0,0,0,0,1,1,1,1,0
2024-09-10,220000,SU CASA SOBRE LA ROCA,4.0,Distrito Metropolitano Quito,290.0,3,195.0,0,0,0,0,0,1,0,0,0
2024-09-10,194039,SU CASA SOBRE LA ROCA,3.0,Distrito Metropolitano Quito,104.0,3,97.0,0,0,0,0,1,1,1,1,0
2024-09-10,135000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,100.0,3,63.0,0,0,0,0,0,0,0,0,0
2024-09-10,280000,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano Quito,341.0,3,195.0,0,0,0,0,0,1,1,1,0
2024-09-10,110000,Johanna Chalen - Remax Impacta,4.0,Distrito Metropolitano Quito,183.0,3,198.0,0,0,0,0,0,1,0,1,0
2024-09-10,96900,Emerson Medina - Inmoimpakto,2.0,Distrito Metropolitano Quito,105.0,2,66.0,0,0,0,0,0,0,1,0,0
